photo_no,group,family,genus,species,sub.var,link,location,photographer
0,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/37853,"Taken at. Carnarvon Station Reserve. Mailman Spring, QLD","Photographer. Toms, E.J."
1,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/37854,"Taken at. Carnarvon Station Reserve. Mailman Spring, QLD","Photographer. Toms, E.J."
2,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/nsb/206,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
3,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/nsb/207,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
4,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/15300,Taken at. ANBG,"Photographer. Fagg, M."
5,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/15301,Taken at. ANBG,"Photographer. Fagg, M."
6,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/15302,Taken at. ANBG,"Photographer. Fagg, M."
7,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/15303,Taken at. ANBG,"Photographer. Fagg, M."
8,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/x/3328,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
9,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/x/3329,"Taken at. Australian National Herbarium, ACT","Photographer. Palmer, R."
10,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/25378,Taken at. ANBG,"Photographer. Fagg, M."
11,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/25379,Taken at. ANBG,"Photographer. Fagg, M."
12,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/32457,"Taken at. Australian Arid Lands Botanic Gardens, Port Augusta, SA","Photographer. Fagg, M."
13,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/32458,"Taken at. Australian Arid Lands Botanic Gardens, Port Augusta, SA","Photographer. Fagg, M."
14,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/32459,"Taken at. Australian Arid Lands Botanic Gardens, Port Augusta, SA","Photographer. Fagg, M."
15,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/34828,"Taken at. ANBG, ACT","Photographer. Fagg, M."
